speakerA_name,speakerB_name,speakerA-1,speakerB-2,speakerA-3,speakerB-4,speakerA-5
Jay Akbar,Ferry Latuhihin,"Antara dua program prioritas yang paling kentara benang merahnya, ya, antara makan bergizi gratis dengan membangun infrastruktur, mana yang lebih memiliki dampak secara siktifikan terhadap perekonomian?","Ya gini, kalau makan bergizi gratis, kan ujung-ujungnya yang Anda makan kan jadi tinja, ya kan, ya kan, ini konsumsi, ya kan, kalau kita membangun infrastruktur, kan menambah capital stock, ya kan, menambah alat produksi, gitu kan, ya, investasi, ya.","Kalau anak-anak muda kemudian mengekspresikan situasi hari ini dengan kabur aja dulu, Indonesia gelap, apa yang Prof. Ferry lihat dari ekspresi anak-anak muda ini?","Ya, gini lah, anak-anak muda itu kan, spontanitas, ya kan, mereka jangan bercuriga bahwa mereka di-drive oleh suatu kepentingan, ya, enggak.",hmm iya ya
Kak Dargo,Bobon,"Hai, Bon. Bagaimana kabarmu?","Eh, Kak Dargo. Aku baik-baik saja kok.","Syukurlah. Aku minta maaf ya, Bon. Kalau selama ini sering mengganggumu.","Tidak apa-apa, Kak. Bobon malah belajar berani.","Oh iya, kalau ada yang berani mengganggumu, jangan segan bilang ke aku ya."
Bi,Tyo,Itu muka siapa bang?,Kalo gak salah itu punya abang Pras.,Abangnya siapa sih?,Tauk siapa?,"Terus ini tuh masakan maknya, cobain dulu dah."
Tyo,Bi,Pas banget jam-jam yang dari siang ke sore.,Jam berapa ini kita emang?,"Sekarang jam 15.46. Kalo lu jam 12 kesini lu ngantri sampe ke sore.
","Buset, sampe mana ya? Sampe grogol.
","Ini kemang timur.
"
Tyo,Bi,"Excuse me any question? Gitu ya?
",Kok excuse me any question?,Terus apa dong?,"Coba, excuse me, are you hungry?",Oke.
Tyo,Bi,"Dan ini bakwan jagung. Yang kesukaan gua banget.
",Namanya apa kalo di sono?,Paragede Jaguang.,Paragede.,Yes.
Bi,Tyo,Itu apaan tuh?,Ini.,Daun apa namanya?,Daun singkong.,Daun singkong.
Bi,Tyo,"Ini kita udah lama nih kagak syuting jantor ini, lo gak mau syuting-syuting lagi udah.",Bukannya gak mau.,Kenapa emang?,Gue lagi diet Bi.,Diet?
Bi,Tyo,"Udah yuk syuting, dimana nih yang makan dimana?",Tapi di mana ya? ni yakin nih makan nih gue gak apa-apa nih?,"Iya gak apa-apa, udah.", Ada sih tempat baru tuh kalo gak salah dikembang Bi.,Apa-apa?
Tyo,Bi,"Nah, ini tempatnya Bi, dikembang Bi. Yang katanya tuh rame dan..."," Udah tapan, udah tapan dulu.",Udah pasti enak banget. Udah percaya?, Udah pasti enak banget loh., Iya..
Tyo,Bi,"Lihat di belakang pada ngantri lagi, Bi. Tadi kita kosong banget udah rame lagi.",Oh udah ngantri lagi., Udah tuh.,Oh iya bener. Lu berarti penglaris bang.,"Lu liat aduh ini nih, abis latihan nih. Kelan, mau makan taburai."
Bi,Tyo,Apaan nih minumnya bang?,Ini tuh minuman favorit gue ya.,Apaan itu?,Namanya timnas.,Timnas? U berapa?
Bi,Tyo,Katanya timnas ini kesukaannya Sintayong.,Oh dulunya.,Oh dulunya.,Makanya bisa jadi pelatih di timnas.,Bener.
Tyo,Bi, Ada di Kemang Timur.,Utara.,Eh Kemang Utara. Tapi dari timur bisa kesini.,Kemang Utara kalau disingkat ya dia apa?,Kemang tuh.
Tyo,Bi,Tapi orang Jawa juga bisa. Orang Sunda juga bisa.,Yang gak bisa orang apa?,Yang gak bisa orang yang gak datang ke taburai.,Oh pintar.,Itu gak bisa dia makan nasinya kayak gini.
Bi,Tyo,Nah sekarang?, 2025 udah 117 kg.,"Naik dong, terus dari mana dietnya?","Itu yang gue heranin, gue udah minum tapi berat gue tetep naik.",Minumnya pake nasi kali lo.
Ivan Gunawan ,Deddy Corbbuzier,Lu terlalu sombong.,Bukan tau sombong gua kayak pesugihan youtube.,Ya tapi kan gapapa. Maksud gue ya lu seneng lah membuka satu peluang orang lain. Kan juga pengen berada di posisi lain.,Gua tuh masih utang sama lu satu.,Utang sama gua ngapain?
Deddy Corbbuzier,Ivan Gunawan ,"Gak, utang podcast.Utang collab. Lu, Ruben, Enzi",Lah kan Ruben udah?,Ruben belum.,Yang sama gua dateng? Oh lu dateng ke tempatnya dia.,Gue datang ke tempat dia
Ivan Gunawan ,Deddy Corbbuzier,Dan dia udah pernah ke tempat lu ya?,Dia udah pernah ke tempat gue.,Oke,Ruben gua belum.Gua janji sama dia soalnya. Rafi gua pernah janji sama dia. Enzi kemaren gak jadi gua janji sama dia.Pokoknya ada 6-7 orang deh yang gua...,"Ya itu harus lu kelarin. Karena mereka juga berharap bahwa kehadiran lu...
Dia bantulah saling support lah."
Ivan Gunawan ,Deddy Corbbuzier,Tapi lu kalau misalnya kayak artis-artis kan lu udah biasa politik udah biasa. Kemarin lu sempet jalan di atas air ya? u sempet berasa sakti banget pas ngedatangin Pak Prabowo ya? Muka lu langsung jubawa gitu.Kayak ngedatangin dia tuh lu happy banget gitu kan?,Bukan gitu Pak Gun.,Gimana? ,"Pak Prabowo itu tidak pernah mau ngomong dengan siapapun di media. Tidak pernah. Pak Prabowo itu satu arah. Tidak pernah mau wawancara. Jadi kalau dia mau wawancara, mau ditanya-tanya yang mau podcast itu one in a million.",Tapi dia nonton podcast lu berarti?
Ivan Gunawan ,Deddy Corbbuzier,Dan gue ngeliat dia sosoknya menyenangkan kok.,Enak asik.,"Lu tanya, dia jawab, seneng, dia juga bisa ketawa. Jadi kayak maksudnya dia nggak ngomong terlalu berat tapi dia enjoy.",Betul. Nah mungkin kebanyakan ketika dibawanya ke TV atau dibawanya ke media.,Takutnya di belok-belok.
Deddy Corbbuzier,Ivan Gunawan ,"Kalau kita kan kita nggak punya framing. Kita mau framing apa sih? Ini gini ya, tahun 2024 siapapun presidennya.Ya udah kalau gue mah.",Iya. Siapapun ya kita nggak ngaruh juga ya. ,"Ngga ngaruh juga buat gue. Mau dia jadi presiden, mau Anies, mau siapa, mau Pak Prabowo, mau Jokowi tiga periode. ",Benar. ,Ya apa gitu? 
Ivan Gunawan ,Deddy Corbbuzier,Kalau gue sih berharap lu jadi presiden.,Woy gue kok jadi presiden.,"Woy gila lu satu-satunya presiden yang pake bedakan peleher ya? Gue pikir tadi tuh syuting OTD, dia nggak pake bedak, d iamasih...",Nggak pake gue.,"Iya lu masih, ternyata lu udah tua ya bro?"
Ivan Gunawan ,Deddy Corbbuzier,"Eh tapi by the way, gue mau cerita ya. Queen gue tuh ya Queen Sofia, Queen Bella sama Queen Nadia. Sekarang udah ada shape untuk badannya loh. Thank you so much loh. Untuk Osborne, Osborne atau Osborne?",Osborne Corbusier.,"Osborne Corbusier. Thank you. Jadi gini nih, aku kan ada tiga anak didik yang sekarang mau menuju ke international gitu. Yang target aku adalah mereka tuh appsnya harus jadi.Harus jadi.Bukan berarti yang apps yang jadi kayak laki-laki gitu nggak ya. Tapi ada shape lah.",Tapi ada shape-nya.,Dan 10 sesi gue akuin.
Deddy Corbbuzier,Ivan Gunawan ,"Dan di tempat gym gue tuh ya, ini nih menarik.",Iya,"Gue tuh paling kesel di gym-gym lain. Ketika ada PT, ganjen sama cewek.","Ya mungkin kalo PT lo homo semua, kalo sama cewek enggak.","Enggak, nggak boleh. Kalo mereka ketahuan out."
Deddy Corbbuzier,Ivan Gunawan ,Cara megang.,Harus cool aja cool?,"Iya. Cara megang, megang nih, megang harus dua jari.","Gini, mbak maknanya gini. Oh gue nggak pernah tau sih kalo detail sampe segitu.","Nggak boleh tuh, megang pake lebih dari dua jari, kena sama gue."
Ivan Gunawan ,Deddy Corbbuzier,Lu sampe segitu detailnya?,Sampe segitunya. Karena gue nggak pingin ada.,Image-nya jadi kayak gini.,"Terus ada cewek di sana, punya suami atau punya pacar. Nggak nyaman gara-gara nge-gym. Wah, tadinya panjang.","Makanya gue tuh sempet nanya ya Bi ya. Gue nanya sama Sofie. Sofie, do you wanna change your PT? No, no, I'm really enjoy with him."
Ivan Gunawan ,Deddy Corbbuzier,"Tapi gue jujur. Lu kalo podcast kerjaan lu podcast terus, lu nggak kangen pake bedak?",Enggak,Hah?,Enggak. ,Kan beauty case lu aja kan tuh lengkap banget.
Deddy Corbbuzier,Ivan Gunawan ,"Gue tuh nggak pake kalo nggak di TV. Dan gue pake tuh gara-gara kebiasaan. Gara-gara jaman dulu, kalo nggak bedakan diomelin gue.","Iya, jaman dulu emang gitu ya.",Iya kan? ,Kalo nggak bedakan diomelin. Kilap mukanya.,"Iya, iya"
Deddy Corbbuzier,Ivan Gunawan ,Terus dibedakin. Lagi duduk dibedakin.,Iya kan tisu-tisu hidro lu juga yang ada bedaknya.,Iya.,Iya tetep aja tuh lu pake bedak.,"Iya kan nggak, sekarang juga nggak pake bedak kan gue kan."
Ivan Gunawan ,Deddy Corbbuzier,Oke sekarang gue tanya malah lagi.,Yaudah. ,"Lu di podcast lu, siapa lagi yang cita-cita lu pingin ada di podcast lu?",Cita-cita sih jadi astronot bro.,"Nggak perlu orang lu nggak ada otaknya, kayak tadi lu ngomong nggak ada otaknya."
Ivan Gunawan ,Deddy Corbbuzier,"Lu Prabowo itu, Pak Prabowo itu satu tingkat lu langsung begini nih, langsung Jumawa. Apa lu?",Itu cita-cita tuh dapetin Pak Prabowo.,Iya terus udah gitu abis cita-cita lu udah udahan ya?,"Enggak dong, masih nanti kita masih bikin lagi.","Obama dong, Obama. Yang gitu-gitu yang internasional."
Deddy Corbbuzier,Ivan Gunawan ,Lu kenapa sih nggak mau ke podcast gue lagi? Kenapa sih?,Maksudnya?,Lu kenapa nggak mau ke podcast gue lagi?,Iya lu balikan lah Mas Dayat Gantian gue yang dapet cuan.,"Iya nggak maksudnya, kenapa lu nggak mau ke podcast gue lagi?"
Ivan Gunawan ,Deddy Corbbuzier,"Iya gua mau.Ya gua kan kalau di podcast lu kan cadangan doang buat ngangkat lu lagi. Nih gua tau ya, lu biasanya ini tayangin gue.Kalau yang sebelumnya agak jeblok, lu masukin gue dia naik lagi.",Iya bagus dong. Iya lu bantu temen dong. Kenapa nggak suka gitu?,Ya kan udah berapa kali gue bantu lu.,"Enggak, lu juga ada maunya lu.",Mana ada.
Deddy Corbbuzier,Ivan Gunawan ,Apa terakhir kali lu bokuin lu? Apa ya? Kalau bukan buat promoin anak lu.,Ya karena gue ngomong kan itu barometer. Lu tuh barometer Master.,Ya berarti kan gue bantu lu juga.,Ya tapi kan...,Kok itungan 
Ivan Gunawan ,Deddy Corbbuzier,"Hah?Nggak hitungan, gue nggak pernah mau minta dari lu hasil gua. Enggak.","Enggak, lu bawa anak lu ke situ.","Enggak, ngitungan.",Suruh promoin anak lu.,Lu mau dibayar emang kalau gue dateng? Berapa sih kalau lu bayar ke podcast lu?
Jay Akbar,Adian Napitupulu,Bagaimana nih Pak Adian sebagai anggota DPR yang mewakili konstituennya melihat atau memaknai pernyataan dari Mbak Puan sebagai Ketua DPR?,"Ya sebenarnya betul, tapi berkuasa untuk menentukan siapa yang berkuasa.","Tetapi artinya kalau kita mewaknai lebih jauh, hubungan antara wakil rakyat dengan rakyat yang diwakili itu menjadi terputus gak sih Pak?","Kalau kamu tanya saya ya, ya tidak terputus.","Bagaimana dia membangun komunikasi dengan rakyatnya, konstituennya dengan rakyat yang bukan konstituennya segala macam."
Jay Akbar,Adian Napitupulu,"Bahwa seolah-olah ketika seorang anggota DPR itu terpilih, kemudian ada semacam ambiguitas ketika seorang anggota DPR itu dihadapkan pada pilihan untuk lebih mewakili kepentingan partai atau rakyatnya gitu Pak?","Kalau di PD perjuangan, kita bisa membicarakan itu, kita bisa memperdebatkan itu dengan fraksi maupun dengan unsur partai yang lain terkait dengan apa yang kita kerjakan, apa yang kita perjuangkan.","Dalam 10 tahun terakhir, 2 atau 2 periode menjadi anggota DPR, ketemu gak sih Pak konflik interest yang bersingguhan secara langsung antara kebijakan yang diambil oleh partai",Konflik interest antara?,Antara kebijakan partai dengan konstituen di DAPIL apa?
Jay Akbar,Adian Napitupulu,Ada persinggungan juga gak sih Pak di konstituen gitu?,Kamu tidak mungkin hidup tanpa perbedaan.,Kalau menyenangkan semua orang ini untuk ke konstituen dan juga ke parpol abang atau gimana Pak?,Kalau parpol kita bisa berdiskusi ya.,"Pak, kalau disuruh otokritik terhadap DPR, kinerja selama paling tidak 5-10 tahun terakhir ini, apa sih dari Bang Adian otokritiknya? "
Wili Azhari,Adian Napitupulu,Menyenangkan semua orang ini untuk ke konstituen dan juga ke parpol bapak atau gimana pak?,"Kalau parpol kita bisa berdiskusi ya.Misalnya Kabupaten Bogor nih konstituen pemilu itu ada 3,9 juta orang. Lalu kemudian ada 200 ribu yang mungkin berbeda pandangnya dengan gue atau mungkin ada 1 juta orang yang berbeda pandangnya dengan gue.Ya biasa saja.",Nah dari bapak sendiri memaknai pernyataan itu sepertinya pak sebagai orang yang turut ikut berkontestasi.,"Begini, kalau saya setuju dengan yang disampaikan Mbak Puan, tapi kalau saya melihatnya begini. Demokrasi yang saya maknai itu adalah kita bisa berbicara tentang banyak hal yang berbeda. ","Pak, kalau disuruh otokritik terhadap DPR, kinerja selama paling tidak 5-10 tahun terakhir ini, apa sih dari Pak Adian otokritiknya?"
Wili Azhari,Adian Napitupulu,"Itu lahir karena bapak memang berasal dari jalan sebagai aktivis dulunya, atau setelah Bang masuk ke DPR baru merasa bahwa, kayaknya gue harus lebih banyak ke jalan, gitu.","Nggak tahu. Advokasi itu kan sudah bagian dalam proses hidup gue sejak kuliah ya, sejak mahasiswa gitu loh. Kemarin misalnya ada kebakaran di Manggari, gue datang saja. Nggak butuh.","Walaupun bukan dapil ya, Pak.","Iya, walaupun bukan dapil gitu loh. Kita kirim banyak bantuan waktu itu kemana, ke Sinabung, ke segala macam, ya kirim-kirim aja gitu loh."," Menurut bapak, itu juga faktor kan Pak Adian bisa kepilih lagi nih."
Jay Akbar,Adian Napitupulu, Dengan berbagai cara ya pak ya?,Dengan berbagai cara. Dengan berbagai cara gitu. Ya berbuat baik aja.,Ada salah satu capaian yang dibanggakan oleh DPR ya terkait dengan kinerja mereka dalam lima tahun terakhir ini kan adalah jumlah produk undang-undang yang dihasilkan. Jauh lebih banyak.  Dan maksudnya itu menggambarkan nggak sih sebuah prestasi?,"Menurut saya masalah terbesar kita bukan di jumlah undang-undangnya, tapi bagaimana melaksanakan undang-undang itu, bagaimana DPR mengawasi undang-undang itu.","Enggak urgent ya pak, dengan program publik ya?"
Jay Akbar,Adian Napitupulu,"Tapi selain daripada bahwa undang-undang itu harus kontekstual dengan problem dan solusi yang dihadapi rakyat, apa sih variable yang menurut bapak itu bahwa sebuah legislasi ini, sebuah produk undang-undang ini ya memang berkualitas gitu?","Berkualitas tidaknya sebuah undang-undang bagi pak ya, itu tergantung sejauh mana dia mampu menjawab persoalan kerakyatan, persoalan rakyat.",Ada gak undang-undang yang betul-betul menjawab persoalan rakyat?,"Sudah dibuat, sanggup gak dilaksanakan. Sudah dilaksanakan, sanggup gak diawasi. Nah pengawasan itu menurut pak bagi anggota DPR-nya turun. Belum muterai kemana-mana, ketemu siapa, segala macam diskusi dan sebagainya.",Dan undang-undang yang dihasilkan dalam 5-10 tahun terakhir ini sudah menggambarkan itu gak?
Wili Azhari,Adian Napitupulu,Ini kan Mbak Puan ini kan ketua DPR pertama perempuan ya pak. Nah kalau boleh lah kasih skor nih kinerja DPR di bawah kemenangan Mbak Puan. Dari 1 sampai 10. Dan apa alasannya?,"8,5, 9. Kenapa saya kasih 8,5, 9? Karena dia memimpin DPR di saat konstelasi politiknya kayak begini gitu loh.","Itu publik itu sepertinya merindukan kritik-kritik tajam dari DPR terhadap pemerintahan Jokowi, Ma'ruf Amin gitu. Tapi tampaknya di awal-awal tuh kok gak keluar tuh kritik-kritik pedas terhadap pemerintahan Jokowi, Ma'ruf Amin ini. Pak Adian melihatnya bagaimana?","Kalau menurut gue tuh harus ada risetnya loh. Misalnya partai A berapa banyak mengkritik pemerintah dalam konteks kepelaksanaan kebijakan. Partai B berapa banyak, partai C berapa banyak, selalu kita total.",Karena kan ada kesan BPR cuma jadi setempel aja tuh dari apa yang diinginkan pemerintah. Kesan itu melekat sejak dulu ya.
Jay Akbar,Adian Napitupulu,"Nah, angka ini akan menggambarkan gak sih Bang situasi atau dinamika DPR ke depan dalam fungsinya sebagai katakanlah QC atas program-program pemerintah atau ya itu sekedar angka aja karena pada akhirnya semua urusannya itu akan kembali pada kebijakan partai?",Banyak juga orang yang berusia sudah cukup tua yang mau memperjuangkan kepentingan anak muda tapi banyak juga anak muda yang kemudian menjadi alat orang tua.,Artinya usia atau petahanan itu tidak bisa kita asumsikan untuk menggambarkan situasi yang akan terjadi ke depan?,"Kalau saya lihat begini ya, dengan sistem pemilihan langsung kayak sekarang, semua bisa. Cuman kenapa kemudian petahanan itu lebih banyak terpilih? Mungkin dia lebih punya kesempatan lebih banyak untuk merawat konstituennya. Itu aja.","Itu kan ada juga tuh, sempat tuh Pak, dalam beberapa momen ya di media sosial itu yang istilahnya video-video potongan Bapak itu diungkit lagi sebelum menjadi anggota DPR ya. Misalnya kayak ketika pemerintahan Jokowi ini memutus untuk menaikkan harga BBM gitu kan. Nah, sebenarnya kalau berangkat tadi konteks itu lah ya, situasi itu. Pernah ada nggak sih istilahnya suara hati nurani Pak Adian itu yang sebenarnya ini kayaknya salah deh gitu."
Wili Azhari,Adian Napitupulu,"Jadi bukan pendapatnya yang menjadi kemudian tereduksi, tapi cara penyampaiannya yang berubah. Metodenya yang berubah. Sebagai wakil rakyat dan bukan wakil rakyat.","Saya wakil rakyat. Saya bisa, eh bos, itu tangan bagiannya saya, rakyat. Ketika anda Presiden dan saya bukan wakil rakyat, saya tidak punya asli sama anda, saya kan pegang aspanduk di jalan. Saya butuh tangan untuk rakyat.","Ada nggak sih suara aspirasi, Pak? Waktu zaman aktivis dulu, yang Bapak bawa ke parlemen dan kemudian saya lagi diri sebuah perijakan yang terstruktur dalam bentuk legislasi.","Saya nggak itu ya alat ukurnya. Begini, begini, begini. Bapak Presiden, di sana itu banyak tanah milik liayasan-liayasan yang dasarnya adalah hak pakai tidak berbatas waktu.","Itu gimana sih Pak, cara agar publik tuh percaya, loh, legislatif tuh punya peran dan fungsi yang sangat vital dalam bernegara."
Jay Akbar,Adian Napitupulu,"Survei kepuasan terhadap DPR yang dirilis oleh Lidbang Kompas itu, kalau menurut Pak Adian ya, sebagai seorang anggota DPR selama 2 peran itu, sudah menggambarkan nggak sih bahwa DPR telah berusaha untuk memperbaiki, merespon kritik?","DPR kan nggak pernah marah kalau dikritik siapa aja. Emang ada mekanisme marahnya DPR? Marah lah gitu, nggak ada.","Bahwa ada undang-undang yang diperlukan tapi sekarang belum ada, itu Bapak setuju. Misalkan masyarakat adat, undang-undang perlindungan pekerjaan rumah tangga, yang banyak dikritik kemudian kok ini mandat begitu?","Bikin ya, ada satu undang-undang kan gini ya, kehidupan rakyat itu kan dinamis. Undang-undang itu kan cenderung statis, kemudian bisa tidak kemudian dia direvisi, dirubah, dan bisa. Tapi bisa pasal per pasal, bisa ayat per ayat, tidak kemudian undang-undangnya harus dirubah total.",Pertanyaan terakhir ya. Apa saran dan masukan Bapak terhadap DPR dalam periode 2024 dan 2029 mendatang? Apa yang harus dibenahi? Apa yang harus diperbaiki?
Ganjar Pranowo,Arvan,"Van, ketika kamu disuruh belajar dirumah untuk 14 hari, itu sebenarnya gurumu jelasin nggak? Kenapa liburnya 14 hari?","Mungkin itu sih Pak, perkembangan kesehatan kita kan dilihat, kalau misalnya ini ya Corona ini dilihat Dua mingguan, 14 hari ya, Yaudah, saya jelasin cuma itu tok saya di grup","Buat dirumah gitu ya, terus kamu belajar dirumah, enak nggak belajar dirumah?","Enaknya, enak bisa ngambil tidur. Cuma, nggak enaknya ya kebanyakan tugas sih, Pak","Oh, kebanyakan tugas? Tugasnya? Review, disuruh nulis, disuruh apa-apa sih tugasnya?"
Ganjar Pranowo,Fitri,Fitri sekolah dimana Fitri?,SMK2 Semarang,Kamu pernah DM Pak Gubernur ya? Kamu masih inget tidak DM-mu pada saya apa waktu itu?,"Ya yang jelasin kalau ada dampak negatifnya dari apa sih dikasih tugas di rumah, soalnya kalau dampak negatifnya itu ada, yang anak-anak yang tidak patuh sama orang tua. ","Dari yang semua kamu sampaikan ke saya lewat DM-IG itu, sebenarnya yang ada di kepalamu apa?"
Ganjar Pranowo,Arvan,Arvan masih inget gak? DMmu ke saya apa waktu itu?,Masih pak,Apa?,"Pokoknya intinya tuh, kebanyakan tugas pokoknya ngeluh, Supaya pak Ganjar tuh main ke SMA Satrean Semarang, biar langsung mengetahui realitanya gimana, Realitanya apa.",Enggak mau belajar dirumah kok aku main ke sekolahmu
Ganjar Pranowo,Fitri,"Sebenarnya gurumu itu pada saat memberikan tugas kepada kamu itu perintahnya apa sih waktu ini
","Dia suruh ngerjain di rumah selama liburan terus ada tengah waktunya juga, tergantung sih kalau yang online itu 2 harian, kalau yang di buku itu paling sampai masuk sekolah sampai 4 harian.",Terus kamu merasa capek gitu?,"Iya, soalnya belum selesai dikasih lagi","Oh belum selesai dikasih lagi, nanti kayak kumban gitu, cucian itu numpuk terus gitu ya. Terus kamu minta tolong orangtuamu nggak?"
Ganjar Pranowo,Fitri,"Selama 14 hari ini kan masih dalam 14 hari, keluar rumah berapa hari?",Tiga kali,Ampanya waktu itu,"Waktu itu, pertama main, dua kali main, terus yang satunya ke rumah sakit.","Ke rumah sakit, emang sakit kamu?"
Ganjar Pranowo,Arvan,"Arvan, ini banyak orang tua juga ngomong sakit ke saya, Pak Ganjar, ada bagusnya juga loh anak-anak belajar dirumah, sangunya jadi nggak banyak, enak gitu.","Tapi dirumah pak sekarang setiap habis masak nasi, habis, habis goreng ini habis, habis makan ini habis gitu",Kamu makannya banyak ya,Enggak,"Saya kalau makan paling satu kali, eh satu hari dua kali lah satu hari dua kali, kamu?"
Ganjar Pranowo,Yuyun,"Waktu kita tanya, Bapak Ibu Guru sudah siap melakukan sekolah jarak jauh Distant learning dengan daring, Online. Semua mengatakan siap, sebenarnya siap itu, di mata kepala Bapak Ibu Guru itu siapnya seperti apa Bu? Setelah melihat murid-murid yang begini","Terima kasih, Bapak. Menurut saya, masalahnya ada pada perbedaan konsep. Yang diharapkan adalah kelas online dengan interaksi, bukan sekadar pemberian tugas. 

",Itu kira-kira yang keliru di siswanya atau di gurunya sebenarnya?,"Baik, Bapak. Saya juga sempat berbicara dengan teman dari daerah Bapak. Di sana, banyak yang belum terbiasa dengan daring dan terkendala jaringan, jadi hanya mengandalkan WhatsApp. Akhirnya, pembelajaran cenderung berupa pemberian tugas.","Pernah Bapak Muretnya itu protes ke Ibu, Bu jangan banyak-banyak tugasnya saya ada tugas yang lain gitu, Pernah nggak?"
Ganjar Pranowo,Yuyun,"Bu kalau mau diceritakan, apa perbedaan cara mengajar Bu Yuyun dengan yang lain? Bu Yuyun kan mengatakan, oh sebenarnya menarik kok Pak asik-asik saja kok, kalau yang lain nyebelin deh, ini versi 2 kita, Kira-kira apa Bu?","Saya membedakan antara kelas online dan tugas online. Saat kelas online, saya ajar sesuai jadwal lewat Teams, absen siswa, dan berinteraksi langsung. Meski mengajar Bahasa Jawa, saya pakai Bahasa Indonesia agar lebih menarik. ",Ibu jenis yang mana yang jelei ngasih tugas atau yang ini,"Seperti yang saya sampaikan tadi Bapak, ada buktinya kok. Saya setiap kali apa namanya habis pembelajaran itu saya minta, saya tidak mengatakan apapun, bagaimana pembelajaran hari ini, Mereka jawabnya seru bu, Masih ada saya simpan","Mereka semang ya, Oke, Nanti boleh juga dong di shoot ya, Apa sih chattingnya Bu Yuyun pada anak-anak itu menyenangkannya dimana, Oke."
Ganjar Pranowo,Fitri,"Pernah nggak selama kamu belajar di rumah itu gurumu ngajak chatting gitu ya, Mungkin dengan video call yang bentuknya itu kelas online bukan tugas online seperti bu Yuyun pernah nggak gurumu?","Belum pernah, tugas online adanya","Kalau kamu ke Bu Yuyun gini ini, Seneng?",Iya seneng,Kamu itu di matamu itu sekolah online yang seru itu kayak apa?
Ganjar Pranowo,Arvan,Arvan pernah nggak?,Kalau tatap muka selama ini belum pernah pak cuman kalau misal pakai media yang harus download aplikasi itu udah dari kelas 10 dulu udah ada,Oh pernah? Aplikasinya apa waktu itu?,Ada dua sih pak kuiper sama exam tria,Itu ada visualnya nggak?
Ganjar Pranowo,Yuyun,"Kalau ibu pernah nggak menyampaikan kepada anak-anak dengan visual jadi ada wajahnya? Pas kebetulan bapak dindak ke SMA apa dulu iya
 Itu pakai video yang udah macet macet itu ya?","Ya betul, Karena memang kekurangannya kalau misalnya menggunakan video paling saya hanya sekedar say hello dengan anak-anak kemudian nanti saya lanjutkan dengan obrolan chatting gitu pak
","Tadi ibu sampaikan ya kadang-kadang saya memastikan anak itu di rumah, gaya ibu, cara ibu, untuk memastikan anak di rumah tanpa dia merasa harus diawasi itu kira-kira caranya gimana atau dengan pertanyaan apa?","Saya punya dua grup, satu untuk siswa dan satu untuk orang tua. Saya minta orang tua memastikan anaknya belajar di rumah dan memberi respon positif. ","Jadi sebenarnya ini jeley gitu ya, atau barangkali ini anak kelihatannya pintar banget, seperti model Arvan ini yang pasti sekolahnya baik, enggak pernah bolos, ramah sama guru, atau familia yang rajin gitu kan, berapapun tugas diselesaikan dengan baik, enggak pernah marah sama gurunya, kecuali sama pak gubernur kira-kira gitu ya."
Ganjar Pranowo,Fitri,"Gurumu ada enggak yang modanya kayak Bu Yu Yun, ada enggak yang asik mau buka, kadang-kadang ngisengin kamu dengan video call gitu",Kayak video call enggak ada sih,"Tapi ada enggak gurumu yang menurut temen-temenmu di semuanya itu
Itu loh kayak pak guru-bu guru itu yang ngajar daringnya itu menarik gitu",Iya ada guru sejarah,Ada ya
Ganjar Pranowo,Fitri,"Kamu boleh cerita enggak, ceritakan dong, gurumu sejarah namanya siapa",Bu Endang,"Halo Bu Endang, kamu dipuji oleh Fitriya, Bu Endang katanya Ibu kalau mengajar menarik tapi saya penasaran menarik kayak apa ya, Fitriya kamu ceritakan Bu Endang gimana
","Ya menariknya itu kalau apalagi nerangin kan biar kalau sejarah kan kebanyakan pada itu ya pada ngantuk gitu, pada capek",Yang enggak ngantuk pelajaran apa?
Ganjar Pranowo,Arvan,"Van, kamu itu termasuk jenis siswa yang apa, bandel ya?",Ya biasa ajalah pak gitu,Atau yang rajin,"Ya kalau rajin banget ya enggak pak, Cuman kalau malas banget juga ya enggak, ya apa mas ya apa tengah-tengah lah.","Oh tengah-tengah,"
Ganjar Pranowo,Arvan,"Pertanyaan yang sama, sama dengan Fitri, Arvan kira-kira ada enggak gurumu yang menarik ketika selama kamu belajar dirumah menyampaikannya asik, ada enggak",Belajar dirumah menyampaikannya asik ada guru bahasa Indonesia yang namanya Pak Teguh Satrio,"Pak Teguh Satrio kamu mendapatkan pujian dari Arvan tapi jangan geer dulu kira-kira pujiannya kayak Arvan apa yang menarik ketika mengajar model daring, Apa van kamu ceritain pak","Ya ngajarnya cuma ngasih apa namanya pengimbauan ruang tetap di rumah, cek kesehatan, terus, yaudah","Berarti baiknya itu karena gak ngasih tugas luar ngasih tentang korona, Oh ya, oh dia kasih Pak siapa tadi"
